,City,Country,Date,Latitude,Longitude,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph)
0,san quintin,PH,2019-09-25 16:03:32,17.54,120.52,44,81,72.30380000000004,1.6
1,rikitea,PF,2019-09-25 16:01:38,-23.12,-134.97,0,68,71.99780000000001,3.59
2,katsuura,JP,2019-09-25 16:03:01,33.93,134.5,20,82,66.46999999999997,3.6
3,mataura,NZ,2019-09-25 16:01:34,-46.19,168.86,100,85,44.27599999999999,8.94
4,camopi,GF,2019-09-25 16:03:32,3.17,-52.33,100,46,87.13579999999996,2.31
5,bambous virieux,MU,2019-09-25 16:01:43,-20.34,57.76,75,88,71.86999999999996,0.5
6,vaini,IN,2019-09-25 16:01:43,15.34,74.49,100,95,75.56180000000003,1.04
7,barentsburg,,,,,,,,
8,qaanaaq,GL,2019-09-25 16:01:53,77.48,-69.36,98,80,19.99580000000003,4.63
9,salinas,US,2019-09-25 16:03:33,36.67,-121.66,1,21,98.276,2.1
10,moyale,ET,2019-09-25 16:03:33,3.52,39.05,46,61,74.96779999999997,4.78
11,carnarvon,ZA,2019-09-25 16:01:52,-30.97,22.13,0,8,56.33780000000003,4.2
12,puerto ayora,EC,2019-09-25 16:01:59,-0.74,-90.35,20,61,79.06999999999996,9.3
13,nikolskoye,RU,2019-09-25 16:01:36,59.7,30.79,75,93,41.26999999999996,1
14,coihaique,CL,2019-09-25 16:01:33,-45.58,-72.07,40,48,61.069999999999965,1.5
15,belushya guba,,,,,,,,
16,gat,SN,2019-09-25 16:03:33,14.69,-16.54,20,88,80.86999999999996,3.1
17,kulhudhuffushi,MV,2019-09-25 16:03:33,6.62,73.07,100,82,79.82780000000005,5.84
18,bredasdorp,ZA,2019-09-25 16:01:33,-34.53,20.04,0,77,65.26400000000004,3.1
19,tacoronte,ES,2019-09-25 16:03:34,28.48,-16.41,20,88,75.46999999999997,5.7
20,illoqqortoormiut,,,,,,,,
21,te anau,NZ,2019-09-25 16:03:34,-45.41,167.72,90,81,39.50779999999999,4.18
22,agen,FR,2019-09-25 16:03:34,44.2,0.62,90,93,63.266000000000005,6.2
23,albany,US,2019-09-25 15:58:16,42.65,-73.75,1,56,76.26199999999996,5.1
24,champerico,MX,2019-09-25 16:03:34,16.38,-93.6,40,52,88.06999999999996,3.1
25,namibe,AO,2019-09-25 16:01:39,-15.19,12.15,79,90,69.49580000000003,2.72
26,cayenne,GF,2019-09-25 16:02:50,4.94,-52.33,0,62,88.06999999999996,4.1
27,tual,ID,2019-09-25 16:03:35,-5.67,132.75,72,83,77.91980000000004,8.07
28,hermanus,ZA,2019-09-25 16:01:42,-34.42,19.24,0,56,65.26400000000004,1.79
29,alofi,NU,2019-09-25 16:02:35,-19.06,-169.92,70,78,75.46999999999997,3.1
30,halalo,,,,,,,,
31,east london,ZA,2019-09-25 16:01:47,-33.02,27.91,0,62,57.469999999999956,5.1
32,avarua,CK,2019-09-25 16:02:00,-21.21,-159.78,99,83,77.26999999999995,6.7
33,souillac,FR,2019-09-25 16:01:32,45.6,-0.6,90,93,63.266000000000005,4.6
34,gorontalo,ID,2019-09-25 16:03:35,0.54,123.06,15,63,69.71180000000004,1.29
35,new norfolk,AU,2019-09-25 16:01:58,-42.78,147.06,100,70,48.469999999999956,5.1
36,mrirt,,,,,,,,
37,jamestown,AU,2019-09-25 16:02:05,-33.21,138.6,0,65,47.26579999999999,2.92
38,port alfred,ZA,2019-09-25 16:01:33,-33.59,26.89,0,72,58.26199999999996,0.89
39,kasongo-lunda,CD,2019-09-25 16:02:01,-6.48,16.82,91,92,69.56779999999998,0.86
